timestamp,theta_neck
16:04:15.282,38.86
16:04:15.596,36.33
16:04:15.910,37.37
16:04:16.224,37.63
16:04:16.538,37.11
16:04:16.852,35.72
16:04:17.166,35.02
16:04:17.480,24.26
16:04:17.794,6.81
16:04:18.108,0.85
16:04:18.422,0.86
16:04:18.736,0.85
16:04:19.050,0.85
16:04:19.364,21.39
16:04:19.678,22.11
16:04:19.992,0.82
16:04:20.306,0.84
16:04:20.620,0.83
16:04:20.934,0.85
16:04:21.248,0.86
16:04:21.562,0.82
16:04:21.876,0.85
16:04:22.190,0.84
16:04:22.504,0.81
16:04:22.818,0.82
16:04:23.132,0.82
16:04:23.446,0.84
16:04:23.760,0.85
16:04:24.074,0.84
16:04:24.388,0.82
16:04:24.702,0.83
16:04:25.016,0.82
16:04:25.330,0.54
16:04:25.644,0.42
16:04:25.958,0.63
16:04:26.272,0.79
16:04:26.586,0.81
16:04:26.900,0.84
16:04:27.214,0.9
16:04:27.528,0.76
16:04:27.842,1.78
16:04:28.156,9.99
16:04:28.470,18.84
16:04:28.784,9.58
16:04:29.098,0.34
16:04:29.412,0.47
16:04:29.726,0.48
16:04:30.040,0.48
16:04:30.354,3.8
16:04:30.668,3.5
16:04:30.982,9.44
16:04:31.296,0.43
16:04:31.610,0.65
16:04:31.924,0.57
16:04:32.238,0.57
16:04:32.552,0.58
16:04:32.866,0.54
16:04:33.180,0.51
16:04:33.494,0.51
16:04:33.808,0.51
16:04:34.122,0.44
16:04:34.436,0.47
16:04:34.750,16.04
16:04:35.064,20.9
16:04:35.378,22.78
16:04:35.692,16.53
16:04:36.006,24.31
16:04:36.320,31.88
16:04:36.634,37.31
16:04:36.948,29.28
16:04:37.262,36.58
16:04:37.576,36.79
16:04:37.890,33.83
16:04:38.204,39.92
16:04:38.518,38.04
16:04:38.832,37.81
16:04:39.146,36.44
16:04:39.460,29.91
16:04:39.774,24.47
16:04:40.088,19.58
16:04:40.402,16.67
16:04:40.716,18.2
16:04:41.030,20.49
16:04:41.344,13.24
16:04:41.658,26.74
16:04:41.972,18.58
16:04:42.286,27.32
16:04:42.600,32.62
16:04:42.914,37.46
16:04:43.228,37.7
16:04:43.542,37.71
16:04:43.856,40.14
16:04:44.170,37.71
16:04:44.484,37.69
16:04:44.798,40.14
16:04:45.112,38.18
16:04:45.426,40.86
16:04:45.740,35.76
16:04:46.054,38.42
16:04:46.368,32.78
16:04:46.682,18.35
16:04:46.996,7.6
16:04:47.310,8.21
16:04:47.624,0.59
16:04:47.938,0.6
16:04:48.252,8.66
16:04:48.566,1.07
16:04:48.880,3.23
16:04:49.194,8.12
16:04:49.508,1.24
16:04:49.822,0.66
16:04:50.136,0.64
16:04:50.450,0.65
16:04:50.764,0.65
16:04:51.078,0.69
16:04:51.392,0.66
16:04:51.706,0.66
16:04:52.020,0.66
16:04:52.334,0.68
16:04:52.648,0.63
16:04:52.962,3.41
16:04:53.276,6.25
16:04:53.590,8.97
16:04:53.904,0.69
16:04:54.218,27.34
16:04:54.532,36.97
16:04:54.846,37.86
16:04:55.160,36.93
16:04:55.474,33.62
16:04:55.788,37.15
16:04:56.102,33.84
16:04:56.416,33.8
16:04:56.730,37.58
16:04:57.044,38.3
16:04:57.358,30.89
16:04:57.672,16.89
16:04:57.986,18.86
16:04:58.300,0.98
16:04:58.614,0.92
16:04:58.928,0.89
16:04:59.242,0.84
16:04:59.556,0.85
16:04:59.870,7.91
16:05:00.184,0.81
16:05:00.498,19.23
16:05:00.812,24.89
16:05:01.126,23.74
16:05:01.440,21.02
16:05:01.754,20.76
16:05:02.068,17.18
16:05:02.382,16.6
16:05:02.696,14.15
16:05:03.010,16.63
16:05:03.324,16.12
16:05:03.638,18.05
16:05:03.952,28.73
16:05:04.266,30.18
16:05:04.580,32.14
16:05:04.894,26.72
16:05:05.208,18.11
16:05:05.522,16.68
16:05:05.836,10.88
16:05:06.150,1.38
16:05:06.464,0.86
16:05:06.778,0.53
16:05:07.092,18.55
16:05:07.406,20.68
16:05:07.720,34.47
16:05:08.034,31.06
16:05:08.348,32.7
16:05:08.662,30.91
16:05:08.976,35.2
16:05:09.290,35.77
16:05:09.604,32.1
16:05:09.918,7.35
16:05:10.232,1.33
16:05:10.546,22.56
16:05:10.860,19.15
16:05:11.174,12.77
16:05:11.488,0.36
16:05:11.802,2.97
16:05:12.116,1.48
16:05:12.430,3.35
16:05:12.744,8.72
16:05:13.058,21.54
16:05:13.372,15.93
16:05:13.686,0.76
16:05:14.000,4.93
16:05:14.314,0.77
16:05:14.628,0.77
16:05:14.942,0.73
16:05:15.256,30.03
16:05:15.570,33.81
16:05:15.884,38.95
16:05:16.198,37.64
16:05:16.512,36.93
16:05:16.826,38.04
16:05:17.140,24.28
16:05:17.454,8.81
16:05:17.768,3.86
16:05:18.082,9.5
16:05:18.396,14.84
16:05:18.710,30.13
16:05:19.024,32.42
16:05:19.338,36.38
16:05:19.652,33.66
16:05:19.966,36.6
16:05:20.280,36.57
16:05:20.594,35.51
16:05:20.908,26.69
16:05:21.222,1.06
16:05:21.536,0.87
16:05:21.850,0.82
16:05:22.164,0.83
16:05:22.478,0.83
16:05:22.792,25.68
16:05:23.106,0.89
16:05:23.420,0.89
16:05:23.734,0.94
16:05:24.048,0.98
16:05:24.362,0.9
16:05:24.676,0.86
16:05:24.990,0.86
16:05:25.304,0.82
